id,media,leaning,date,title,short_opening,URL
C143,GlobalNews,center,2023/3/10,"Canada pushing China to include Ukraine in talks with Russia to end war, Joly says","Canada's foreign minister says she has asked her Chinese counterpart to have his country's president, Xi Jinping, speak with Ukrainian President Volodymyr Zelenskyy.",
C144,GlobalNews,center,2023/12/19,Ukraine weighing military__ request to mobilize another 500K for war: Zelenskyy,"Volodymyr Zelenskyy said it was a ""highly sensitive"" issue that the military and government would discuss before deciding whether to send the proposal to parliament.",
C145,GlobalNews,center,2022/12/21,"__our support is crucial,_ Ukraine__ Zelenskyy tells U.S. Congress in historic address","The Ukrainian president pressed lawmakers to continue their support to help fight off Russia's invasion, as some Republicans openly question the need for further U.S. funds.",
C146,GlobalNews,center,2022/11/9,Sean Penn loans Oscar statuette to Ukrainian president Volodymyr Zelenskyy,"In a symbolic gesture, Sean Penn presented his Oscars statuette to Ukrainian president Volodymyr Zelenskyy during a recent meeting in Kyiv.",
C147,GlobalNews,center,2022/9/27,Zelenskyy says no talks with Putin if Ukrainian land annexed,"Ukrainian President Vodymyr Zelenskyy urged additional military and financial support to defend Ukraine ""so the aggressor would lose.""",
C148,GlobalNews,center,2023/6/13,Russian missiles kill at least 10 people in Zelenskyy__ hometown,The devastation comes as Ukrainian forces are mounting counteroffensive operations using Western-supplied firepower to try to drive out the Russians.,
C149,GlobalNews,center,2022/12/20,Ukraine__ Zelenskyy set to visit Washington in 1st overseas trip of war: reports,"Sources familiar with the plans said Zelenskyy's visit on Wednesday, while expected, could still be called off at the last minute due to security concerns.",
C150,GlobalNews,center,2024/1/15,"Switzerland hosts Ukraine__ Zelenskyy, offers to hold peace summit with Russia",The two presidents said the Ukrainian and Swiss teams will begin preparations for the Global Peace Summit in Switzerland as early as Tuesday.,
C151,GlobalNews,center,2022/12/7,Ukraine President Volodymyr Zelenskyy named Time magazine__ person of the year,The U.S. magazine acknowledged Ukrainian President Volodymyr Zelenskyy's leadership during Russia__ invasion and also paid tribute to the people of Ukraine.,
C152,GlobalNews,center,2024/10/16,Zelenskyy says Ukraine __ictory plan_ will force Russia toward peace,"Zelenskyy told parliament his plan contained_five main points_that were in the hands of his allies, including an unconditional invite to join NATO now and weapons support.",
