date,title,short_opening,url,label,sentiment
2025-02-28,"ZelenskyyVisits DC, Tate Brothers In Florida, USAID Standoff, AOC and DOJ","The Ukrainian President is arriving in Washington to discuss a deal involving his country's rare earth minerals, social media influencers Andrew and Tristan Tate were charged with human trafficking in Romania and have now arrived in Florida, and the Supreme Court weighed in on a case involving frozen funds at USAID. Also, Rep. Ocasio-Cortez asks the Justice Department if she is under investigation.Want more comprehensive analysis of the most important news of the day, plus a little fun?",https://www.npr.org/2025/02/28/1234443296/up-first-zelenskyy-dc-andrew-tristan-tate-usaid-02-28-2025,Diplomatic Engagements,neutral
2025-02-26,Ukraine's Zelenskyy will meet Trump Friday to finish a minerals deal,"KYIV, Ukraine, and WASHINGTON, D.C.  Ukrainian President Volodymyr Zelenskyy says he will meet with President Trump on Friday to sign a preliminary deal giving the United States a share of critical raw materials but wants ""guarantees of peace and security"" in any final agreement. ",https://www.npr.org/2025/02/26/nx-s1-5309488/us-ukraine-critical-minerals-deal-trump-zelenskyy,Economic Structure,neutral
2025-02-19,Zelenskyy hits back against Trump's comments blaming Ukraine for the war with Russia,Joanna Kakissis Ukraine's President Volodymyr Zelenskyy speaks to reporters in Kyiv on Wednesday.,https://www.npr.org/2025/02/19/nx-s1-5302023/ukraine-zelenskyy-trump-russia-war,Russia-Related Rhetoric,neutral
2025-02-17,Zelenskyy looks to get a seat at the table for U.S. and Russia's Ukraine peace talks,"In the United Arab Emirates on Monday, Zelenskyy said he's in the region for official visits focused on humanitarian and economic issues. He said Ukraine did not know about the Russia-U.S. meeting.",https://www.npr.org/2025/02/17/nx-s1-5299837/zelenskyy-looks-to-get-a-seat-at-the-table-for-u-s-and-russias-ukraine-peace-talks,Diplomatic Engagements,neutral
2025-02-15,Zelenskyy calls for the creation of a European army at the Munich Security Conference,Members of the Trump administration speaking at the Munich Security Conference this weekend pressed Ukraine on concessions to end the war. We look at the view from Kyiv on their demands.,https://www.npr.org/2025/02/15/nx-s1-5298156/zelenskyy-calls-for-the-creation-of-a-european-army-at-the-munich-security-conference,Aid Policies,neutral
2025-02-13,Trump calls Putin and Zelenskyy separately to start talks to end the war in Ukraine,President Trump held separate calls with Russian President Vladimir Putin and Ukrainian President Volodymyr Zelenskyy to kick off talks after almost three years or war.,https://www.npr.org/2025/02/13/nx-s1-5294647/trump-calls-putin-and-zelenskyy-separately-to-start-talks-to-end-the-war-in-ukraine,Diplomatic Engagements,neutral
2025-01-20,Ukraine's Volodymyr Zelenskyy congratulates Trump,"Joanna Kakissis Ukraine's president, Volodymyr Zelenskyy, congratulated President Trump on taking office, calling him ""a man of strength."" He said Ukrainians are ready to work with Americans to achieve ""true peace.""",https://www.npr.org/2025/01/20/g-s1-43847/ukraines-volodymyr-zelenskyy-congratulates-trump,Media Representation,positive
2024-09-26,Zelenskyy met with leaders in Washington to press for ongoing support for Ukraine,Franco Ordoñez President Biden welcomes Ukraine's President Zelenskyy with a pledge of additional military assistance. Zelenskyy also met with Vice President Harris and bipartisan groups in the House and Senate.,https://www.npr.org/2024/09/26/nx-s1-5129632/zelenskyy-met-with-leaders-in-washington-to-press-for-ongoing-support-for-ukraine,Diplomatic Engagements,positive
2024-09-25,Zelenskyy warns that Russia may attack Ukrainian power plants at UNGA,Michele Kelemen Ukraine's President Volodmyr Zelensky tries to rally support at a UN distracted by the Middle East and warns Russia may be planning to attack his country's nuclear power plants.,https://www.npr.org/2024/09/25/nx-s1-5124853/zelenskyy-warns-that-russia-may-attack-ukrainian-power-plants-at-unga,Russia-Related Rhetoric,negative
2024-08-31,Ukrainian president Zelenskyy fires air force commander after fatal F-16 crash,"KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy fired the commander of the countrys air force Friday, four days after an F-16 warplane that Ukraine received from its Western partners crashed during a Russian bombardment and killed the pilot.",https://www.npr.org/2024/08/31/g-s1-20449/ukraine-president-zelenskyy-fires-air-force-commander-f16-crash,Military Operations,neutral
