date,title,short_opening,url
2023-03-10,"Canada pushing China to include Ukraine in talks with Russia to end war, Joly says","Canada's foreign minister says she has asked her Chinese counterpart to have his country's president, Xi Jinping, speak with Ukrainian President Volodymyr Zelenskyy.",https://globalnews.ca/news/9543311/ukraine-russia-china-peace-talks-joly/
2023-02-26,"Ukraine’s Zelenskyy fires senior military commander, no reason given","In a one-line decree, Zelenskyy announced the dismissal of Eduard Moskalyov as commander of the joint forces of Ukraine, which are engaged in battles in the Donbas region.",https://globalnews.ca/news/9512994/ukraine-volodymyr-zelenskyy-military-commander/
2023-02-24,Brad Paisley drops song feat. Zelenskyy on 1st anniversary of Russian invasion,"Brad Paisley released a new song entitled 'Same Here' featuring Ukrainian President Volodymyr Zelenskyy Friday, marking one year since Russia initiated war in Ukraine.",https://globalnews.ca/news/9509684/brad-paisley-volodymyr-zelenskyy-same-here-war-1-year/
2023-02-24,Ukraine’s Zelenskyy vows victory on first anniversary of Russian invasion,President Volodymyr Zelenskyy used the Feb. 24 anniversary to congratulate Ukrainians on their resilience in the face of Europe's biggest and deadliest war since World War II.,https://globalnews.ca/news/9508653/ukraine-russia-war-anniversary-zelenskyy-address/
2023-02-24,"One year on, Ukrainians in Canada reflect on Russia’s war: ‘You feel like a traitor’  | Globalnews.ca","Just before dawn on Feb. 24 of last year, Russia began its invasion in Ukraine. One year later, Ukrainians living in Canada say they still carry the consequences.",https://globalnews.ca/news/9442604/ukraine-russia-invasion-anniversary-canada/
2023-02-20,"Nations seek clarity on Olympics ‘neutrality’ for Russia, Belarus as calls for ban grow","The statement was the product of a Feb. 10 summit in London between government leaders, who heard from Ukrainian President Volodymyr Zelenskyy.",https://globalnews.ca/news/9499533/nations-clarity-olympics-neutrality-russia-belarus-ban/
2023-02-11,Ukraine holds defense in Donetsk region as battles rage: top commander,President Volodymyr Zelenskyy and other military officials have been on a diplomatic marathon in recent months trying to secure more Western weapons and fighter aircraft.,https://globalnews.ca/news/9481056/ukraine-donetsk-defense-battle/
2023-02-05,Ukraine wartime reshuffle: Chief military spy to be appointed as defence minister,"Ukraine is set to replace Defence Minister Oleksii Reznikov with the chief of its military spy agency, a close ally of President Volodymyr Zelenskyy said on Sunday.",https://globalnews.ca/news/9462743/ukraine-defence-minister-replaced-shuffle/
2023-02-04,Ukraine’s Zelenskyy revokes citizenship of numerous former politicians,"President Volodymyr Zelenskyy revoked the citizenship of several former influential politicians in the latest of steps to ""cleanse"" the country from pro-Russian influences.",https://globalnews.ca/news/9461001/ukraines-zelenskyy-revokes-citizenship-of-numerous-former-politicians/
2023-01-22,Russia warns West of ‘global catastrophe’ for arming Ukraine,The speaker of the lower house of Russia's parliament warned Sunday that countries supplying Ukraine with more powerful weapons risked their own destruction.,https://globalnews.ca/news/9428459/russia-ukraine-west-arming/
2023-01-21,Ukraine war: Zelenskyy honours those killed in helicopter crash,"At the somber service in Kyiv, Zelenskyy and his wife laid flowers on each of the seven coffins draped in the blue and yellow flags of Ukraine.",https://globalnews.ca/news/9426901/ukraine-war-zelenskyy-helicopter-crash/
