date,title,url
2022-10-20,Zelenskyy urges Russians and world to stand up to Putin,https://www.cbc.ca/news/thenational/zelenskyy-urges-russians-and-world-to-stand-up-to-putin-1.6622953
2022-11-14,Zelenskyy visits Kherson to mark victory for troubled region,https://www.cbc.ca/news/thenational/zelenskyy-visits-kherson-to-mark-victory-for-troubled-region-1.6651707
2022-12-20,Putin admits to Russia’s difficulties in Eastern Ukraine,https://www.cbc.ca/news/thenational/putin-admits-to-russia-s-difficulties-in-eastern-ukraine-1.6693326
2022-12-21,"Zelenskyy visits Washington, makes impassioned speech to U.S. Congress",https://www.cbc.ca/news/thenational/zelenskyy-visits-washington-makes-impassioned-speech-to-u-s-congress-1.6694745
2023-01-01,"In New Year's Day addresses, Zelenskyy, Putin both vow to push for victory",https://www.cbc.ca/news/thenational/in-new-year-s-day-addresses-zelenskyy-putin-both-vow-to-push-for-victory-1.6701202
2023-01-05,"Ukraine rejects Putin’s ceasefire request, says it’s a cover",https://www.cbc.ca/news/thenational/ukraine-rejects-putin-s-ceasefire-request-says-it-s-a-cover-1.6705456
2023-02-08,Zelenskyy pushes for more war planes during surprise U.K. visit,https://www.cbc.ca/news/thenational/zelenskyy-pushes-for-more-war-planes-during-surprise-u-k-visit-1.6742108
2022-10-20,Zelenskyy pauses interview to report drones shot down,https://www.cbc.ca/news/world/zelenskyy-pauses-interview-to-report-drones-shot-down-1.6623527
2020-01-29,The whistleblower,https://www.cbc.ca/news/world/the-whistleblower-1.5445460
2022-02-23,Ukraine welcomes Western sanctions against Russia,https://www.cbc.ca/news/world/ukraine-welcomes-western-sanctions-against-russia-1.6361283
2022-03-02,MP proposes renaming street outside Russian Embassy after Ukrainian president,https://www.cbc.ca/news/canada/ottawa/mp-proposes-renaming-street-outside-russian-embassy-after-ukrainian-president-1.6370326
2022-03-07,Ukrainian president blasts Russian humanitarian corridor offer as 'plain propaganda',https://www.cbc.ca/news/world/ukrainian-president-blasts-russian-humanitarian-corridor-offer-as-plain-propaganda-1.6376480
2022-03-09,"Russian airstrike on maternity hospital 'atrocity,' says Zelensky",https://www.cbc.ca/news/world/russian-airstrike-on-maternity-hospital-atrocity-says-zelensky-1.6378778
2022-03-12,"Russian forces nearing Kyiv, Zelensky open to talks with Putin",https://www.cbc.ca/news/russian-forces-nearing-kyiv-zelensky-open-to-talks-with-putin-1.6382932
