date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2022-12-21,"Zelenskyy aims to shore up support with White House, Congress and American people","A MART_NEZ, HOST: Let's go now to Richard Haass. For the last 20 years, he's led the nonpartisan Council on Foreign Relations. Richard, so apart from making this in-person appeal for more military support, what do you think President Zelenskyy hopes to gain from this visit?",https://www.npr.org/2022/12/21/1144627677/zelenskyy-aims-to-shore-up-support-with-white-house-congress-and-american-people,Aid Policies,neutral,zelensky_npr_filtered,,
2022-06-16,"Ukraine's Zelenskyy hosts European leaders, welcomes more U.S. weapons","KYIV, Ukraine  Four European leaders took the train to Ukraine's capital Thursday and met President Volodymyr Zelenskyy in a show of unity for a country struggling to hold back the Russian military.",https://www.npr.org/2022/06/16/1105447087/ukraine-welcomes-us-weapons-hosts-european-leaders,Aid Policies,positive,zelensky_npr_filtered,,
2023-08-12,Zelensky Called Him a Criminal. Now Ukraine Calls Him for Guns and Ammo.,"In its hunt for weapons, Ukraine has rolled back anticorruption rules and turned to people once seen as relics of an anything-goes era.",,Aid Policies,negative,zelensky_nytimes_filtered,,
2023-08-21,Zelensky Thanks Denmark for Pledging F-16 Fighter Jets to Ukraine,The Netherlands and Denmark became the first countries to announce that they would donate the planes.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-10-11,Zelensky Asks G7 Leaders for More Air Defense Systems,President Volodymyr Zelensky of Ukraine made the request during an emergency virtual meeting called by the Group of 7 in response to Russia__ onslaught against civilian targets.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2023-05-14,"Zelensky Visits Germany, Praising Weapons Pledge and Seeking Jets","The Ukrainian president was received with military honors in Berlin, where he thanked Germany__ leaders for standing with his country.",,Aid Policies,positive,zelensky_nytimes_filtered,,
2023-05-15,"In European Tour, Zelensky Reaps Billions More in Promised Military Aid","His trips to Britain, Germany, France and Italy demonstrated the shifting political landscape when it comes to supporting Kyiv, as concerns grow about U.S. backing as the presidential election looms.",,Aid Policies,positive,zelensky_nytimes_filtered,,
2023-05-19,Zelensky Appeals to Arab Leaders for Help Resisting Russia__ Invasion,President Volodymyr Zelensky of Ukraine called for help freeing Ukrainians held in Russian prisons during an address to the Arab League summit.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2023-05-20,"After a Show-Stopping Entrance at the G7, Zelensky Pleads for More Aid",He urged his supporters to stay the course and tried to convince fence sitters like India and Brazil that there is no middle ground.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2024-08-04,"Ukraine Has Received F-16 Fighter Jets, Zelensky Says",President Volodymyr Zelensky did not say whether the jets had already flown combat missions. A shortage of trained pilots and a limited number of jets will constrain their immediate impact.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2023-12-12,"Zelensky Begins Aid Push in Washington, Casting Inaction as Win for Putin",The Ukrainian president plans to meet with President Biden and lawmakers on Tuesday as chances of an aid deal in Congress have become increasingly bleak.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2023-12-12,"In Washington, Zelensky Faces Republican Intransigence","Also, Biden and Netanyahu disagree over the war__ next steps. Here__ the latest at the end of Tuesday.",,Aid Policies,negative,zelensky_nytimes_filtered,,
2023-12-15,Zelensky Returns to Ukraine With Little Aid and a Raft of Needs,"The European Union__ willingness to open accession talks will lift morale, but the more immediate prospects for financial support from allies is sobering.",,Aid Policies,negative,zelensky_nytimes_filtered,,
2024-09-06,"Meeting With Allies, Zelensky Presses for More Weapons","The Ukrainian leader argued that escalating military pressure on Russia, combined with diplomacy, was the best way to motivate Moscow to seek peace.",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2024-09-26,Zelensky Pleads for More U.S. Weapons in Meetings With Biden and Harris,"The stakes are high for the Ukrainian leader, who is trying to fend off Russia__ invasion while also navigating tricky U.S. politics that could determine future of American aid.",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-12-22,"U.S. Aid Is __ot Charity,_ Zelensky Tells Congress as a Lengthy War Looms",President Volodymyr Zelensky described military assistance for Ukraine as an investment in global security and democracy in the face of Russian aggression.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-12-22,Zelensky__ Appeal for More U.S. Support,Readers praise his resolve and urge America to do more to help Ukraine. Also: Gene editing; Israel__ future; our carbon footprint. ,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-12-22,Zelensky__ Weapons Wish List Goes Mostly Unfulfilled on Trip to Washington,"The Biden administration continues to balk at sending U.S. battle tanks, fighter jets and long-range missiles to Ukraine.",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-05,"Meeting with Congress, Zelensky asks for more jets and a no-fly zone.","The meeting, conducted via Zoom, was the first time President Volodymyr Zelensky of Ukraine had addressed both houses of Congress since Russia__ invasion began.",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-16,Zelensky__ Emotional Appeal to Congress,"President Volodymyr Zelensky of Ukraine gave a searing speech to a joint meeting of Congress, an extraordinary address by a leader under assault by a hostile foreign power.",,Aid Policies,positive,zelensky_nytimes_filtered,,
2022-03-16,Zelensky__ Plea to Congress,Biden announced $800 million in new military aid to Ukraine.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-16,Annotated Transcript: Zelensky__ Speech to Congress,President Volodymyr Zelensky of Ukraine addressed a joint meeting of the House and Senate to press his case for more aid to Ukraine amid devastating attacks by Russia.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-16,"Invoking America__ Darkest Days, Zelensky Pleads for More U.S. Aid",President Volodymyr Zelensky of Ukraine called for a no-fly zone and more weapons to combat Russia__ assault and implored President Biden to be __he leader of peace._,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-17,Zelensky__ Powerful Plea to Congress,Readers react to President Volodymyr Zelensky__ speech and urge a no-fly zone in Ukraine. Also: Violence against Asian Americans; daylight saving time.,,Aid Policies,positive,zelensky_nytimes_filtered,,
2022-03-19,Zelensky Pleads to Parliament for More Help. What Can Canada Offer?,The address by President Volodymyr Zelensky of Ukraine was also a reminder that Canada might indirectly benefit from the crisis.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-24,Zelensky calls on NATO members to do more to help Ukraine__ military.,"In a video address to a closed-door session of the military alliance, President Volodymyr Zelensky warned that Russia __oes not intend to stop in Ukraine,_ according to his government__ transcript.",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-25,Zelensky Wants a No-Fly Zone. NATO Is Right to Say No.,"A no-fly zone in Ukraine, meant to protect civilians, might fail to do so while  escalating the war._",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-03-27,Zelensky renews his call for planes and tanks from NATO.,President Volodymyr Zelensky said European leaders were falling short in helping his nation fight Russia and urged them to show even a bit of the courage that the outmanned residents of Mariupol have demonstrated.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-04-22,"Ukraine needs up to $7 billion in support per month, Zelensky says.","Ukraine has suffered $550 billion in losses from the war, President Volodymyr Zelensky told the World Bank on Thursday.",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2023-01-31,Quotation of the Day: Zelensky Presses Allies for Arms on Wish List,"Quotation of the Day for Tuesday, January 31, 2023.",,Aid Policies,neutral,zelensky_nytimes_filtered,,
2024-11-06,Zelensky Urges Trump to Help Defend Ukraine Against Russia,"President-elect Donald J. Trump has often shown disdain toward Ukraine and its leader, President Volodymyr Zelensky.",,Aid Policies,negative,zelensky_nytimes_filtered,,
2022-09-23,Zelensky Asks Businesses to Join a __arshall Plan_ for Ukraine,Ukraine estimates it would cost $750 billion to rebuild the war-battered country.,,Aid Policies,neutral,zelensky_nytimes_filtered,,
2022-06-27,Zelensky asks G7 leaders for better air defences and tougher sanctions on Russia,"The ongoing war in Ukraine moved from being a_distant, abstract_conflict to something more tangible for_the leaders of the world's seven wealthiest democracies_on Monday with an address by the embattled country's president.",https://www.cbc.ca/news/politics/g7-summit-zelensky-1.6502456,Aid Policies,neutral,zelensky_cbc_filtered,,
2022-05-10,"Ukraine needs more weapons to unblock siege of Mariupol, Zelensky says",A roundup of events on Day 76 of Russia's invasion of Ukraine: Official says bodies of 44 civilians found in rubble of building in northeastern city of Izyum; Lithuania votes to recognize genocide; and the United Nations estimates the civilian death toll is much higher than records show.,https://www.cbc.ca/news/world/russia-ukraine-war-genocide-1.6447550,Aid Policies,neutral,zelensky_cbc_filtered,,
2022-03-09,"Trudeau promises surveillance gear to Ukraine, invites Zelensky to address Parliament","Prime Minister Justin Trudeau, who is visiting Germany, has told Ukraine's president that Canada is sending cameras for surveillance drones to help Ukrainian forces track the Russian military, a source with knowledge of the file says.",https://www.cbc.ca/news/politics/trudeau-germany-1.6378188,Aid Policies,neutral,zelensky_cbc_filtered,,
2025-02-22,CTV National News: Zelensky calls for more support from allies,President Zelensky calls for more support from allies as the Ukraine-Russia war nears its three-year anniversary. ,https://www.ctvnews.ca/video/2025/02/23/ctv-national-news-zelensky-calls-for-more-support-from-allies-as-war-nears-three-year-mark/,Aid Policies,neutral,zelensky_ctv_filtered,,
2022-03-17,Live updates: Zelensky mum on specifics of new U.S. aid,"LVIV, Ukraine -- Ukrainian President Volodymyr Zelensky said he was thankful to U.S. President Joe Biden for the additional military aid but said he would not say specifically what the new package included because he didn't want to tip off Russia.",https://www.ctvnews.ca/world/article/live-updates-zelensky-mum-on-specifics-of-new-us-aid/,Aid Policies,neutral,zelensky_ctv_filtered,,
2022-03-05,Zelensky 'desperate' plea to U.S. Congress: Send more planes,"WASHINGTON  Fighting for his country's survival, Ukraine's leader made a ""desperate"" plea Saturday to American lawmakers for the United States to help get more warplanes to his military and cut off Russian oil imports as Kyiv tries to stave off the Russian invasion.",https://www.ctvnews.ca/world/article/zelensky-desperate-plea-to-us-congress-send-more-planes/,Aid Policies,negative,zelensky_ctv_filtered,,
2023-10-05,Zelensky Asks Europe for More Help as Missile Strike Kills 50,,https://www.wsj.com/world/europe/zelensky-asks-europe-for-more-help-as-missile-strike-kills-50-3c76d15f,Aid Policies,neutral,zelensky_wsj_filtered,Investigators searched wreckage of a destroyed grocery store; early evidence points to a Russian Iskander missile.,
2022-03-16,"Ukraine__ Zelensky Invokes 9/11, Pearl Harbor in Plea to Lawmakers for More Weapons",,https://www.wsj.com/politics/policy/ukraines-zelensky-to-address-u-s-lawmakers-eager-to-help-military-needs-11647423001,Aid Policies,neutral,zelensky_wsj_filtered,Zelensky urged Congress to send more military assistance during a virtual address.,
2022-06-27,Zelensky Asks for Western Help to Push Russia Out of Ukraine Before Winter,,https://www.wsj.com/world/europe/g-7-expected-to-adopt-fresh-sanctions-against-russia-11656320252,Aid Policies,neutral,zelensky_wsj_filtered,Zelensky appealed to the G-7 as U.S. pledged more military aid.,
2024-09-26,"Zelensky Presses Case for Missile Strikes, Tries to Patch Up GOP Support",,https://www.wsj.com/world/biden-directs-billions-more-in-weapons-to-ukraine-ahead-of-zelensky-meeting-eee74bc7,Aid Policies,neutral,zelensky_wsj_filtered,Zelensky seeks U.S. approval to strike military targets deep inside Russia.,
2022-03-14,Ukraine__ Zelensky to Press Congress for More Military Gear,,https://www.wsj.com/politics/policy/ukraines-president-volodymyr-zelensky-to-address-congress-virtually-11647266912,Aid Policies,neutral,zelensky_wsj_filtered,White House backs sanctions and aid but rejects Poland__ offer of jets.,
2024-09-29,Zelensky Visited U.S. to Seek War Boost. His Most Important Ally Shrugged.,,https://www.wsj.com/world/europe/zelensky-visited-u-s-to-seek-war-boost-his-most-important-ally-shrugged-d7ba76e7,Aid Policies,negative,zelensky_wsj_filtered,Ukraine is losing ground and needs more U.S. support.,
2023-02-09,Zelensky Calls for More Help for Ukraine in EU Meeting,,https://www.wsj.com/articles/zelensky-calls-for-more-help-for-ukraine-in-eu-meeting-11675950731,Aid Policies,neutral,zelensky_wsj_filtered,"President Volodymyr Zelensky took his campaign for more military aid to a summit of European Union leaders, where he also sought to advance Ukraine__ EU membership bid.",
2025-10-17,Zelenskyy: __rump didn't say no_ but __idn't say yes_ to Tomahawk missiles for Ukraine,Zelenskyy says Trump gave no commitment on Tomahawk missiles during White House meeting.,https://www.nbc.com/meet-the-press/video/zelenskyy-trump-didnt-say-no-but-didnt-say-yes-to-tomahawk-missiles-for-ukraine/NBCN138181871,Aid Policies,neutral,zelensky_nbc_filtered,,
